form,deprel,count
sucette,obj,81
loulou,ROOT,19
je,ROOT,73
je,dep,161
allo,vocative,2
allo,mark,3
téléphone,obj,91
doudou,conj,11
',obl:mod,6
cacher,xcomp,149
nous,dep,179
julie,appos,6
ulysse,flat:name,11
belle,amod,246
oui,flat:name,15
ha,fixed,122
ensemble,advmod,276
mettre,ROOT,203
gros,amod,977
tient,advcl,34
regarde,dep,442
mieux,advmod,540
maman,obl:arg,574
ulysse,obl:mod,26
wah,dep,53
wouhou,ROOT,9
bravo,obj,58
waw,dep,19
ouh,det,139
gros,ROOT,328
heureusement,advmod,111
était,ccomp,59
occupes,ROOT,10
occupe,ROOT,56
tour,obl:arg,14
dernier,obl:mod,6
devenir,xcomp,31
haut,xcomp,9
petits,obj,53
dessus,ROOT,131
essayer,ROOT,12
tourner,xcomp,259
essaies,ROOT,106
être,cop,1276
difficile,xcomp,38
aide,ccomp,211
vous,obj,120
tout,dep,175
wouh,ROOT,62
voit,acl:relcl,175
caméra,obl:mod,62
touche,ROOT,273
caméra,obj,164
loulou,nmod,14
toucher,conj,2
hoplà,ROOT,399
envoyer,ROOT,6
euh,obl:arg,55
lancer,xcomp,54
maman,nmod,1087
toucher,ROOT,33
comique,ROOT,11
papa,obl:arg,427
tourner,ROOT,58
woups,ROOT,1
atatatatata,dep,1
toucher,acl,8
loulou,obj,24
regarder,ROOT,41
allez,nsubj,440
prends,ROOT,1047
faire,advcl,308
commencer,xcomp,108
par,case,2218
cube,obl:arg,4
photo,obl:mod,33
chérie,dep,123
touche,ccomp,23
loulou,dep,12
va,dep,352
ouais,advmod,1410
loup,obj,111
nez,obl:mod,86
zzz,nsubj,13
montrer,advcl,34
cherche,ROOT,253
avis,obl:mod,236
beaucoup,obj,591
',obl:arg,138
animaux,obj,159
tout,det,156
cas,obl:mod,132
oups,ROOT,203
ça,case,370
wouh,fixed,1
wouh,nmod,7
entends,ROOT,304
comment,parataxis,30
toi,mark,453
ulysse,obj,88
préféré,ROOT,12
shooter,xcomp,13
dedans,obj,522
plutôt,advmod,509
laisser,advcl,2
oui,dep,1412
racontes,dep,59
gentil,ROOT,470
hephephep,ROOT,1
regardes,acl:relcl,79
va,ccomp,1010
aérosol,obj,5
papillon,ROOT,120
arrêtes,ROOT,144
arriver,ROOT,6
voiture,obl:mod,144
ah,advmod,263
voiture,obl:arg,151
ohlàlà,det,39
ça,conj,473
voiture,ROOT,400
rouler,acl,8
genoux,obl:arg,60
les,obl:mod,17
doigts,obl:mod,68
est,parataxis,27
pas,ROOT,169
roulé,ccomp,2
dessus,obl:arg,571
a,conj,500
règle,obj,14
peut,ccomp,193
tapis,obl:arg,29
savais,acl:relcl,13
coincé,ROOT,112
près,obl:arg,55
elle,nsubj:pass,463
filée,ROOT,1
file,ROOT,14
boumé,ROOT,2
avec,nsubj,4
es,ccomp,36
loin,ROOT,158
nous,obl:arg,105
attention,nsubj,155
